"term","freq","s1","s2","s3","prob"
"you this is",6,"you","this","is",0.230769230769231
"you to a",6,"you","to","a",0.0266666666666667
"you use the",6,"you","use","the",0.222222222222222
"you want the",6,"you","want","the",0.0297029702970297
"you wanted to",6,"you","wanted","to",0.666666666666667
"you were to",6,"you","were","to",0.0461538461538462
"you would have",6,"you","would","have",0.0740740740740741
"you would think",6,"you","would","think",0.0740740740740741
"you you can",6,"you","you","can",0.171428571428571
"your chance to",6,"your","chance","to",0.6
"your life is",6,"your","life","is",0.0769230769230769
"your work and",6,"your","work","and",0.260869565217391
"youre going to",6,"youre","going","to",0.857142857142857
"a bag of",5,"a","bag","of",0.625
"a bit to",5,"a","bit","to",0.016025641025641
"a blast with",5,"a","blast","with",0.2
"a blessed day",5,"a","blessed","day",0.5
"a book and",5,"a","book","and",0.0581395348837209
"a book that",5,"a","book","that",0.0581395348837209
"a call at",5,"a","call","at",0.172413793103448
"a call to",5,"a","call","to",0.172413793103448
"a change in",5,"a","change","in",0.2
"a child i",5,"a","child","i",0.0806451612903226
"a child of",5,"a","child","of",0.0806451612903226
"a closer look",5,"a","closer","look",0.833333333333333
"a comic book",5,"a","comic","book",0.625
"a comment on",5,"a","comment","on",0.192307692307692
"a completely different",5,"a","completely","different",0.625
"a couple more",5,"a","couple","more",0.024390243902439
"a day in",5,"a","day","in",0.0342465753424658
"a day of",5,"a","day","of",0.0342465753424658
"a day or",5,"a","day","or",0.0342465753424658
"a deep breath",5,"a","deep","breath",0.2
"a different kind",5,"a","different","kind",0.119047619047619
"a friday night",5,"a","friday","night",0.416666666666667
"a full time",5,"a","full","time",0.0769230769230769
"a good book",5,"a","good","book",0.00950570342205323
"a good fit",5,"a","good","fit",0.00950570342205323
"a good place",5,"a","good","place",0.00950570342205323
"a good reason",5,"a","good","reason",0.00950570342205323
"a good story",5,"a","good","story",0.00950570342205323
"a good week",5,"a","good","week",0.00950570342205323
"a great addition",5,"a","great","addition",0.00943396226415094
"a great evening",5,"a","great","evening",0.00943396226415094
"a great one",5,"a","great","one",0.00943396226415094
"a great season",5,"a","great","season",0.00943396226415094
"a great show",5,"a","great","show",0.00943396226415094
"a guy who",5,"a","guy","who",0.111111111111111
"a human being",5,"a","human","being",0.25
"a less than",5,"a","less","than",0.5
"a letter to",5,"a","letter","to",0.294117647058824
"a little and",5,"a","little","and",0.01
"a little crazy",5,"a","little","crazy",0.01
"a little extra",5,"a","little","extra",0.01
"a little kid",5,"a","little","kid",0.01
"a location in",5,"a","location","in",0.714285714285714
"a long and",5,"a","long","and",0.0328947368421053
"a long term",5,"a","long","term",0.0328947368421053
"a lot from",5,"a","lot","from",0.0101419878296146
"a lot less",5,"a","lot","less",0.0101419878296146
"a man in",5,"a","man","in",0.0454545454545455
"a man is",5,"a","man","is",0.0454545454545455
"a moment of",5,"a","moment","of",0.161290322580645
"a much better",5,"a","much","better",0.138888888888889
"a network of",5,"a","network","of",0.625
"a new day",5,"a","new","day",0.0141242937853107
"a new phone",5,"a","new","phone",0.0141242937853107
"a night of",5,"a","night","of",0.147058823529412
"a perfect day",5,"a","perfect","day",0.104166666666667
"a phone call",5,"a","phone","call",0.454545454545455
"a place for",5,"a","place","for",0.087719298245614
"a place in",5,"a","place","in",0.087719298245614
"a prayer for",5,"a","prayer","for",0.5
"a press conference",5,"a","press","conference",0.833333333333333
"a pretty good",5,"a","pretty","good",0.119047619047619
"a request for",5,"a","request","for",0.555555555555556
"a review of",5,"a","review","of",0.714285714285714
"a short film",5,"a","short","film",0.125
"a small town",5,"a","small","town",0.0446428571428571
"a story that",5,"a","story","that",0.104166666666667
"a third of",5,"a","third","of",0.384615384615385
"a very bad",5,"a","very","bad",0.025
"a very small",5,"a","very","small",0.025
"a walk to",5,"a","walk","to",0.25
"a while back",5,"a","while","back",0.0434782608695652
"a wide variety",5,"a","wide","variety",0.3125
"a wonderful weekend",5,"a","wonderful","weekend",0.072463768115942
"a work of",5,"a","work","of",0.3125
"a year later",5,"a","year","later",0.0333333333333333
"a year of",5,"a","year","of",0.0333333333333333
"a young man",5,"a","young","man",0.135135135135135
"about a week",5,"about","a","week",0.0490196078431373
"about being a",5,"about","being","a",0.172413793103448
"about how much",5,"about","how","much",0.0757575757575758
"about how the",5,"about","how","the",0.0757575757575758
"about how you",5,"about","how","you",0.0757575757575758
"about it but",5,"about","it","but",0.0239234449760766
"about the future",5,"about","the","future",0.0115473441108545
"about the way",5,"about","the","way",0.0115473441108545
"about to see",5,"about","to","see",0.037593984962406
"about trying to",5,"about","trying","to",1
"access to the",5,"access","to","the",0.135135135135135
"according to my",5,"according","to","my",0.0335570469798658
"across the globe",5,"across","the","globe",0.0588235294117647
"act like a",5,"act","like","a",0.227272727272727
"admit that i",5,"admit","that","i",0.277777777777778
"advice on how",5,"advice","on","how",0.416666666666667
"after that i",5,"after","that","i",0.161290322580645
"after the show",5,"after","the","show",0.0342465753424658
"after years of",5,"after","years","of",0.416666666666667
"ahead of the",5,"ahead","of","the",0.151515151515152
"all at once",5,"all","at","once",0.227272727272727
"all day today",5,"all","day","today",0.0442477876106195
"all in a",5,"all","in","a",0.0909090909090909
"all my followers",5,"all","my","followers",0.0420168067226891
"all night long",5,"all","night","long",0.138888888888889
"all night with",5,"all","night","with",0.138888888888889
"all of a",5,"all","of","a",0.0154320987654321
"all that is",5,"all","that","is",0.0543478260869565
"all the food",5,"all","the","food",0.00846023688663283
"all the stuff",5,"all","the","stuff",0.00846023688663283
"all these years",5,"all","these","years",0.135135135135135
"all this time",5,"all","this","time",0.102040816326531
"all those who",5,"all","those","who",0.121951219512195
"all types of",5,"all","types","of",0.833333333333333
"allow me to",5,"allow","me","to",0.625
"allowed me to",5,"allowed","me","to",1
"allowed to be",5,"allowed","to","be",0.106382978723404
"almost done with",5,"almost","done","with",0.555555555555556
"also had a",5,"also","had","a",0.333333333333333
"also in the",5,"also","in","the",0.384615384615385
"always been a",5,"always","been","a",0.125
"always end up",5,"always","end","up",1
"always makes me",5,"always","makes","me",0.555555555555556
"am i a",5,"am","i","a",0.0442477876106195
"am so sorry",5,"am","so","sorry",0.0769230769230769
"am thankful for",5,"am","thankful","for",0.714285714285714
"amazed at how",5,"amazed","at","how",0.416666666666667
"amazing to me",5,"amazing","to","me",0.357142857142857
"an e mail",5,"an","e","mail",0.454545454545455
"an episode of",5,"an","episode","of",0.454545454545455
"an excuse to",5,"an","excuse","to",0.454545454545455
"an hour and",5,"an","hour","and",0.0847457627118644
"an idea of",5,"an","idea","of",0.238095238095238
"an inch of",5,"an","inch","of",0.416666666666667
"an issue with",5,"an","issue","with",0.263157894736842
"an old friend",5,"an","old","friend",0.113636363636364
"and a very",5,"and","a","very",0.00927643784786642
"and allow to",5,"and","allow","to",0.454545454545455
"and as i",5,"and","as","i",0.0649350649350649
"and as you",5,"and","as","you",0.0649350649350649
"and before i",5,"and","before","i",0.555555555555556
"and began to",5,"and","began","to",0.625
"and does not",5,"and","does","not",0.416666666666667
"and ended up",5,"and","ended","up",0.625
"and even more",5,"and","even","more",0.0735294117647059
"and everything in",5,"and","everything","in",0.25
"and find out",5,"and","find","out",0.238095238095238
"and get off",5,"and","get","off",0.0420168067226891
"and give it",5,"and","give","it",0.208333333333333
"and has been",5,"and","has","been",0.0769230769230769
"and he has",5,"and","he","has",0.0292397660818713
"and he told",5,"and","he","told",0.0292397660818713
"and her husband",5,"and","her","husband",0.0543478260869565
"and his wife",5,"and","his","wife",0.0434782608695652
"and hit the",5,"and","hit","the",0.625
"and how you",5,"and","how","you",0.0555555555555556
"and i'm going",5,"and","i'm","going",0.0454545454545455
"and i decided",5,"and","i","decided",0.00445632798573975
"and i finally",5,"and","i","finally",0.00445632798573975
"and i found",5,"and","i","found",0.00445632798573975
"and i hate",5,"and","i","hate",0.00445632798573975
"and i saw",5,"and","i","saw",0.00445632798573975
"and i see",5,"and","i","see",0.00445632798573975
"and i took",5,"and","i","took",0.00445632798573975
"and i wish",5,"and","i","wish",0.00445632798573975
"and im not",5,"and","im","not",0.104166666666667
"and it feels",5,"and","it","feels",0.0159744408945687
"and it seems",5,"and","it","seems",0.0159744408945687
"and it works",5,"and","it","works",0.0159744408945687
"and keep it",5,"and","keep","it",0.192307692307692
"and let you",5,"and","let","you",0.0943396226415094
"and listening to",5,"and","listening","to",1
"and look to",5,"and","look","to",0.185185185185185
"and made a",5,"and","made","a",0.166666666666667
"and may be",5,"and","may","be",0.3125
"and most importantly",5,"and","most","importantly",0.128205128205128
"and move on",5,"and","move","on",0.5
"and my brother",5,"and","my","brother",0.0297619047619048
"and my own",5,"and","my","own",0.0297619047619048
"and need to",5,"and","need","to",0.5
"and none of",5,"and","none","of",0.714285714285714
"and not in",5,"and","not","in",0.0303030303030303
"and of the",5,"and","of","the",0.0793650793650794
"and one that",5,"and","one","that",0.0847457627118644
"and picked up",5,"and","picked","up",1
"and play with",5,"and","play","with",0.277777777777778
"and ready for",5,"and","ready","for",0.2
"and said i",5,"and","said","i",0.121951219512195
"and say hi",5,"and","say","hi",0.151515151515152
"and so is",5,"and","so","is",0.0420168067226891
"and so the",5,"and","so","the",0.0420168067226891
"and so we",5,"and","so","we",0.0420168067226891
"and thanks to",5,"and","thanks","to",0.15625
"and that it",5,"and","that","it",0.0268817204301075
"and thats what",5,"and","thats","what",0.178571428571429
"and thats why",5,"and","thats","why",0.178571428571429
"and the day",5,"and","the","day",0.00445235975066785
"and the whole",5,"and","the","whole",0.00445235975066785
"and then it",5,"and","then","it",0.014792899408284
"and then when",5,"and","then","when",0.014792899408284
"and they don't",5,"and","they","don't",0.0333333333333333
"and they have",5,"and","they","have",0.0333333333333333
"and they will",5,"and","they","will",0.0333333333333333
"and this time",5,"and","this","time",0.0595238095238095
"and thought of",5,"and","thought","of",0.208333333333333
"and tons of",5,"and","tons","of",1
"and took a",5,"and","took","a",0.178571428571429
"and wait for",5,"and","wait","for",0.5
"and wanted to",5,"and","wanted","to",0.555555555555556
"and was not",5,"and","was","not",0.0520833333333333
"and we got",5,"and","we","got",0.0245098039215686
"and we hope",5,"and","we","hope",0.0245098039215686
"and we love",5,"and","we","love",0.0245098039215686
"and went out",5,"and","went","out",0.166666666666667
"and what we",5,"and","what","we",0.0588235294117647
"and with a",5,"and","with","a",0.131578947368421
"and yes i",5,"and","yes","i",0.227272727272727
"and yet we",5,"and","yet","we",0.15625
"and you just",5,"and","you","just",0.0263157894736842
"another one of",5,"another","one","of",0.263157894736842
"any of my",5,"any","of","my",0.0595238095238095
"anyone else who",5,"anyone","else","who",0.102040816326531
"anyone out there",5,"anyone","out","there",1
"appeared in the",5,"appeared","in","the",0.555555555555556
"are a good",5,"are","a","good",0.0303030303030303
"are allergic to",5,"are","allergic","to",1
"are based on",5,"are","based","on",1
"are looking at",5,"are","looking","at",0.161290322580645
"are more likely",5,"are","more","likely",0.125
"are much more",5,"are","much","more",0.555555555555556
"are not a",5,"are","not","a",0.0337837837837838
"are not going",5,"are","not","going",0.0337837837837838
"are not in",5,"are","not","in",0.0337837837837838
"are of the",5,"are","of","the",0.357142857142857
"are plenty of",5,"are","plenty","of",0.714285714285714
"are ready to",5,"are","ready","to",0.833333333333333
"are so much",5,"are","so","much",0.0505050505050505
"are up to",5,"are","up","to",0.416666666666667
"are we to",5,"are","we","to",0.128205128205128
"are you on",5,"are","you","on",0.0125628140703518
"are you up",5,"are","you","up",0.0125628140703518
"around for a",5,"around","for","a",0.357142857142857
"article in the",5,"article","in","the",0.625
"as a member",5,"as","a","member",0.0077639751552795
"as a person",5,"as","a","person",0.0077639751552795
"as a woman",5,"as","a","woman",0.0077639751552795
"as a young",5,"as","a","young",0.0077639751552795
"as an example",5,"as","an","example",0.0625
"as has been",5,"as","has","been",1
"as he was",5,"as","he","was",0.0757575757575758
"as i could",5,"as","i","could",0.0181159420289855
"as i love",5,"as","i","love",0.0181159420289855
"as little as",5,"as","little","as",0.714285714285714
"as of now",5,"as","of","now",0.138888888888889
"as of the",5,"as","of","the",0.138888888888889
"as she is",5,"as","she","is",0.0980392156862745
"as to why",5,"as","to","why",0.142857142857143
"as was the",5,"as","was","the",0.454545454545455
"as we do",5,"as","we","do",0.0384615384615385
"as well be",5,"as","well","be",0.015527950310559
"as you are",5,"as","you","are",0.0393700787401575
"asked him to",5,"asked","him","to",0.416666666666667
"asked if he",5,"asked","if","he",0.263157894736842
"asking him to",5,"asking","him","to",0.714285714285714
"at all in",5,"at","all","in",0.0279329608938547
"at am with",5,"at","am","with",0.0574712643678161
"at first i",5,"at","first","i",0.15625
"at home and",5,"at","home","and",0.0485436893203883
"at home i",5,"at","home","i",0.0485436893203883
"at home moms",5,"at","home","moms",0.0485436893203883
"at in the",5,"at","in","the",0.294117647058824
"at least its",5,"at","least","its",0.0162337662337662
"at least not",5,"at","least","not",0.0162337662337662
"at least times",5,"at","least","times",0.0162337662337662
"at least to",5,"at","least","to",0.0162337662337662
"at least we",5,"at","least","we",0.0162337662337662
"at least you",5,"at","least","you",0.0162337662337662
"at pm in",5,"at","pm","in",0.0434782608695652
"at the back",5,"at","the","back",0.00380807311500381
"at the club",5,"at","the","club",0.00380807311500381
"at the local",5,"at","the","local",0.00380807311500381
"at them and",5,"at","them","and",0.3125
"at this moment",5,"at","this","moment",0.0490196078431373
"away from home",5,"away","from","home",0.0390625
"away from me",5,"away","from","me",0.0390625
"back at it",5,"back","at","it",0.106382978723404
"back in and",5,"back","in","and",0.0337837837837838
"back on my",5,"back","on","my",0.0847457627118644
"back on track",5,"back","on","track",0.0847457627118644
"back to our",5,"back","to","our",0.0134770889487871
"back to sleep",5,"back","to","sleep",0.0134770889487871
"ball in the",5,"ball","in","the",0.714285714285714
"based on a",5,"based","on","a",0.0694444444444444
"based on what",5,"based","on","what",0.0694444444444444
"battle of the",5,"battle","of","the",0.625
"be afraid to",5,"be","afraid","to",0.454545454545455
"be available for",5,"be","available","for",0.208333333333333
"be back to",5,"be","back","to",0.087719298245614
"be back with",5,"be","back","with",0.087719298245614
"be found here",5,"be","found","here",0.138888888888889
"be great to",5,"be","great","to",0.166666666666667
"be hard to",5,"be","hard","to",0.833333333333333
"be known as",5,"be","known","as",0.5
"be looking for",5,"be","looking","for",0.625
"be on my",5,"be","on","my",0.0543478260869565
"be prepared to",5,"be","prepared","to",0.384615384615385
"be seen in",5,"be","seen","in",0.227272727272727
"be something i",5,"be","something","i",0.416666666666667
"be talking about",5,"be","talking","about",0.555555555555556
"be the one",5,"be","the","one",0.0180505415162455
"be there for",5,"be","there","for",0.0595238095238095
"beautiful day in",5,"beautiful","day","in",0.227272727272727
"because he was",5,"because","he","was",0.0892857142857143
"because i'm a",5,"because","i'm","a",0.25
"because i can",5,"because","i","can",0.0222222222222222
"because i had",5,"because","i","had",0.0222222222222222
"because there is",5,"because","there","is",0.263157894736842
"because they dont",5,"because","they","dont",0.0657894736842105
"been involved in",5,"been","involved","in",1
"been on a",5,"been","on","a",0.142857142857143
"been on my",5,"been","on","my",0.142857142857143
"been the same",5,"been","the","same",0.119047619047619
"been there done",5,"been","there","done",0.185185185185185
"been too long",5,"been","too","long",0.555555555555556
"before and after",5,"before","and","after",0.238095238095238
"before i got",5,"before","i","got",0.0505050505050505
"before i was",5,"before","i","was",0.0505050505050505
"beg to differ",5,"beg","to","differ",1
"believe in god",5,"believe","in","god",0.104166666666667
"believe that i",5,"believe","that","i",0.0657894736842105
"best i can",5,"best","i","can",0.454545454545455
"best in the",5,"best","in","the",0.3125
"best of all",5,"best","of","all",0.0862068965517241
"better and better",5,"better","and","better",0.333333333333333
"between now and",5,"between","now","and",0.833333333333333
"big deal but",5,"big","deal","but",0.192307692307692
"big thank you",5,"big","thank","you",1
"birthday to the",5,"birthday","to","the",0.116279069767442
"book is a",5,"book","is","a",0.166666666666667
"born and raised",5,"born","and","raised",0.5
"both of my",5,"both","of","my",0.125
"both of them",5,"both","of","them",0.125
"both of which",5,"both","of","which",0.125
"both sides of",5,"both","sides","of",0.294117647058824
"bring it on",5,"bring","it","on",0.357142857142857
"brings me back",5,"brings","me","back",0.384615384615385
"brought to the",5,"brought","to","the",0.294117647058824
"brought to you",5,"brought","to","you",0.294117647058824
"but also a",5,"but","also","a",0.111111111111111
"but for me",5,"but","for","me",0.0961538461538462
"but he had",5,"but","he","had",0.0515463917525773
"but i'll be",5,"but","i'll","be",0.238095238095238
"but i'm sure",5,"but","i'm","sure",0.0625
"but i always",5,"but","i","always",0.00786163522012579
"but i could",5,"but","i","could",0.00786163522012579
"but i got",5,"but","i","got",0.00786163522012579
"but i hope",5,"but","i","hope",0.00786163522012579
"but if we",5,"but","if","we",0.0735294117647059
"but in fact",5,"but","in","fact",0.0632911392405063
"but in my",5,"but","in","my",0.0632911392405063
"but in reality",5,"but","in","reality",0.0632911392405063
"but not too",5,"but","not","too",0.0357142857142857
"but now it",5,"but","now","it",0.128205128205128
"but that doesn't",5,"but","that","doesn't",0.0602409638554217
"but the real",5,"but","the","real",0.0196850393700787
"but this time",5,"but","this","time",0.0704225352112676
"but we have",5,"but","we","have",0.0531914893617021
"but we need",5,"but","we","need",0.0531914893617021
"but we were",5,"but","we","were",0.0531914893617021
"but what if",5,"but","what","if",0.0980392156862745
"but when you",5,"but","when","you",0.0806451612903226
"but you get",5,"but","you","get",0.0526315789473684
"but you have",5,"but","you","have",0.0526315789473684
"button on the",5,"button","on","the",0.5
"by the state",5,"by","the","state",0.00946969696969697
"by virtue of",5,"by","virtue","of",1
"call from the",5,"call","from","the",0.454545454545455
"called me a",5,"called","me","a",0.263157894736842
"came and went",5,"came","and","went",0.5
"came back from",5,"came","back","from",0.178571428571429
"came out of",5,"came","out","of",0.0847457627118644
"came to see",5,"came","to","see",0.0769230769230769
"came up to",5,"came","up","to",0.2
"can't get enough",5,"can't","get","enough",0.161290322580645
"can't see the",5,"can't","see","the",0.277777777777778
"can't tell you",5,"can't","tell","you",0.625
"can and will",5,"can","and","will",0.454545454545455
"can be said",5,"can","be","said",0.0171232876712329
"can get away",5,"can","get","away",0.0471698113207547
"can get it",5,"can","get","it",0.0471698113207547
"can hear the",5,"can","hear","the",0.333333333333333
"can it be",5,"can","it","be",0.5
"can never be",5,"can","never","be",0.227272727272727
"can only imagine",5,"can","only","imagine",0.104166666666667
"can only mean",5,"can","only","mean",0.104166666666667
"can say that",5,"can","say","that",0.263157894736842
"can see i",5,"can","see","i",0.05
"can we make",5,"can","we","make",0.087719298245614
"can you believe",5,"can","you","believe",0.0378787878787879
"can you get",5,"can","you","get",0.0378787878787879
"can you say",5,"can","you","say",0.0378787878787879
"can you see",5,"can","you","see",0.0378787878787879
"care of you",5,"care","of","you",0.113636363636364
"carolina mortgage refinancing",5,"carolina","mortgage","refinancing",1
"caught my eye",5,"caught","my","eye",0.454545454545455
"check out your",5,"check","out","your",0.0303030303030303
"closer and closer",5,"closer","and","closer",0.833333333333333
"combined with the",5,"combined","with","the",0.625
"come back for",5,"come","back","for",0.0675675675675676
"come back in",5,"come","back","in",0.0675675675675676
"come by and",5,"come","by","and",0.555555555555556
"come check out",5,"come","check","out",0.5
"come from the",5,"come","from","the",0.185185185185185
"come on down",5,"come","on","down",0.0632911392405063
"come on you",5,"come","on","you",0.0632911392405063
"come to life",5,"come","to","life",0.0340136054421769
"come to me",5,"come","to","me",0.0340136054421769
"comes from a",5,"comes","from","a",0.178571428571429
"comes out clean",5,"comes","out","clean",0.166666666666667
"comes to mind",5,"comes","to","mind",0.0609756097560976
"coming from the",5,"coming","from","the",0.25
"comment on the",5,"comment","on","the",0.25
"control of the",5,"control","of","the",0.333333333333333
"cost of the",5,"cost","of","the",0.294117647058824
"could be in",5,"could","be","in",0.0337837837837838
"could be the",5,"could","be","the",0.0337837837837838
"could make a",5,"could","make","a",0.178571428571429
"could use a",5,"could","use","a",0.238095238095238
"could use some",5,"could","use","some",0.238095238095238
"couldn't agree more",5,"couldn't","agree","more",1
"counting down the",5,"counting","down","the",0.714285714285714
"country in the",5,"country","in","the",0.555555555555556
"couple of times",5,"couple","of","times",0.0301204819277108
"course of the",5,"course","of","the",0.192307692307692
"crack me up",5,"crack","me","up",1
"crazy right now",5,"crazy","right","now",1
"cut out the",5,"cut","out","the",0.263157894736842
"damage to the",5,"damage","to","the",0.625
"day i have",5,"day","i","have",0.0568181818181818
"day if you",5,"day","if","you",0.625
"day of school",5,"day","of","school",0.0434782608695652
"day with my",5,"day","with","my",0.15625
"days after the",5,"days","after","the",0.263157894736842
"days of my",5,"days","of","my",0.108695652173913
"decided to give",5,"decided","to","give",0.0381679389312977
"decided to use",5,"decided","to","use",0.0381679389312977
"deserve to be",5,"deserve","to","be",0.833333333333333
"did not want",5,"did","not","want",0.0344827586206897
"did you guys",5,"did","you","guys",0.0239234449760766
"did you just",5,"did","you","just",0.0239234449760766
"did you like",5,"did","you","like",0.0239234449760766
"didn't have any",5,"didn't","have","any",0.108695652173913
"didn't know what",5,"didn't","know","what",0.151515151515152
"difference in the",5,"difference","in","the",0.333333333333333
"different kind of",5,"different","kind","of",1
"difficult to get",5,"difficult","to","get",0.116279069767442
"dm me for",5,"dm","me","for",0.151515151515152
"do a lot",5,"do","a","lot",0.0632911392405063
"do any of",5,"do","any","of",0.714285714285714
"do i want",5,"do","i","want",0.0403225806451613
"do it and",5,"do","it","and",0.0251256281407035
"do need to",5,"do","need","to",0.833333333333333
"do not be",5,"do","not","be",0.0240384615384615
"do not like",5,"do","not","like",0.0240384615384615
"do some work",5,"do","some","work",0.161290322580645
"do that when",5,"do","that","when",0.0537634408602151
"do this i",5,"do","this","i",0.0746268656716418
"do with my",5,"do","with","my",0.0561797752808989
"do you ever",5,"do","you","ever",0.0109170305676856
"do you guys",5,"do","you","guys",0.0109170305676856
"do you love",5,"do","you","love",0.0109170305676856
"do you need",5,"do","you","need",0.0109170305676856
"does not make",5,"does","not","make",0.0413223140495868
"does not mean",5,"does","not","mean",0.0413223140495868
"doesn't care about",5,"doesn't","care","about",1
"doesn't seem to",5,"doesn't","seem","to",0.625
"doing right now",5,"doing","right","now",1
"don't believe in",5,"don't","believe","in",0.357142857142857
"don't care who",5,"don't","care","who",0.142857142857143
"don't even have",5,"don't","even","have",0.119047619047619
"don't give up",5,"don't","give","up",0.333333333333333
"don't judge me",5,"don't","judge","me",0.555555555555556
"don't know about",5,"don't","know","about",0.0328947368421053
"don't know the",5,"don't","know","the",0.0328947368421053
"don't let it",5,"don't","let","it",0.147058823529412
"don't let me",5,"don't","let","me",0.147058823529412
"don't like it",5,"don't","like","it",0.106382978723404
"don't like the",5,"don't","like","the",0.106382978723404
"don't like to",5,"don't","like","to",0.106382978723404
"don't miss out",5,"don't","miss","out",0.277777777777778
"don't think that",5,"don't","think","that",0.0625
"don't wanna be",5,"don't","wanna","be",0.227272727272727
"don't want a",5,"don't","want","a",0.0505050505050505
"don't you know",5,"don't","you","know",0.151515151515152
"done in the",5,"done","in","the",0.263157894736842
"down for a",5,"down","for","a",0.238095238095238
"down in a",5,"down","in","a",0.151515151515152
"down into the",5,"down","into","the",0.5
"dream come true",5,"dream","come","true",0.833333333333333
"each of us",5,"each","of","us",0.121951219512195
"each other i",5,"each","other","i",0.0476190476190476
"earlier this year",5,"earlier","this","year",0.3125
"easy it is",5,"easy","it","is",0.625
"effect on the",5,"effect","on","the",0.454545454545455
"end of this",5,"end","of","this",0.0306748466257669
"end to the",5,"end","to","the",0.277777777777778
"end up getting",5,"end","up","getting",0.0819672131147541
"end up in",5,"end","up","in",0.0819672131147541
"ends of the",5,"ends","of","the",0.625
"enough for a",5,"enough","for","a",0.166666666666667
"enough to have",5,"enough","to","have",0.0434782608695652
"especially with the",5,"especially","with","the",0.555555555555556
"even though its",5,"even","though","its",0.0462962962962963
"even though they",5,"even","though","they",0.0462962962962963
"even when we",5,"even","when","we",0.128205128205128
"even when you",5,"even","when","you",0.128205128205128
"every day and",5,"every","day","and",0.0684931506849315
"every single day",5,"every","single","day",0.121951219512195
"every time they",5,"every","time","they",0.0649350649350649
"everyone at the",5,"everyone","at","the",1
"everyone go follow",5,"everyone","go","follow",0.5
"everything in the",5,"everything","in","the",0.192307692307692
"exactly how i",5,"exactly","how","i",0.357142857142857
"exactly what you",5,"exactly","what","you",0.131578947368421
"except for the",5,"except","for","the",0.263157894736842
"excited for the",5,"excited","for","the",0.0909090909090909
"excited for this",5,"excited","for","this",0.0909090909090909
"excited to meet",5,"excited","to","meet",0.0471698113207547
"excited to share",5,"excited","to","share",0.0471698113207547
"existence of the",5,"existence","of","the",0.416666666666667
"expect to be",5,"expect","to","be",0.25
"expected to be",5,"expected","to","be",0.185185185185185
"face of the",5,"face","of","the",0.333333333333333
"family in the",5,"family","in","the",0.357142857142857
"father in law",5,"father","in","law",0.625
"feel like im",5,"feel","like","im",0.029940119760479
"feel like you",5,"feel","like","you",0.029940119760479
"feeling like a",5,"feeling","like","a",0.238095238095238
"felt as if",5,"felt","as","if",0.714285714285714
"fill in the",5,"fill","in","the",0.625
"finally got my",5,"finally","got","my",0.161290322580645
"finally got to",5,"finally","got","to",0.161290322580645
"find a place",5,"find","a","place",0.05
"find out about",5,"find","out","about",0.0666666666666667
"find out more",5,"find","out","more",0.0666666666666667
"find out that",5,"find","out","that",0.0666666666666667
"find the perfect",5,"find","the","perfect",0.0819672131147541
"first person to",5,"first","person","to",0.625
"five years ago",5,"five","years","ago",0.238095238095238
"flavor of the",5,"flavor","of","the",0.555555555555556
"focused on the",5,"focused","on","the",0.185185185185185
"followed by a",5,"followed","by","a",0.208333333333333
"for a game",5,"for","a","game",0.00505561172901921
"for a month",5,"for","a","month",0.00505561172901921
"for a number",5,"for","a","number",0.00505561172901921
"for a variety",5,"for","a","variety",0.00505561172901921
"for all those",5,"for","all","those",0.029585798816568
"for an evening",5,"for","an","evening",0.0505050505050505
"for any of",5,"for","any","of",0.166666666666667
"for dinner tonight",5,"for","dinner","tonight",0.119047619047619
"for her she",5,"for","her","she",0.045045045045045
"for high school",5,"for","high","school",0.625
"for his work",5,"for","his","work",0.0526315789473684
"for it and",5,"for","it","and",0.040983606557377
"for it is",5,"for","it","is",0.040983606557377
"for lunch today",5,"for","lunch","today",0.125
"for many years",5,"for","many","years",0.2
"for me as",5,"for","me","as",0.0128865979381443
"for me it's",5,"for","me","it's",0.0128865979381443
"for my first",5,"for","my","first",0.0203252032520325
"for my next",5,"for","my","next",0.0203252032520325
"for our new",5,"for","our","new",0.0364963503649635
"for several years",5,"for","several","years",0.416666666666667
"for some great",5,"for","some","great",0.0446428571428571
"for someone who",5,"for","someone","who",0.147058823529412
"for that is",5,"for","that","is",0.0423728813559322
"for that long",5,"for","that","long",0.0423728813559322
"for the final",5,"for","the","final",0.00255232261357836
"for the holidays",5,"for","the","holidays",0.00255232261357836
"for the moment",5,"for","the","moment",0.00255232261357836
"for the st",5,"for","the","st",0.00255232261357836
"for the team",5,"for","the","team",0.00255232261357836
"for the time",5,"for","the","time",0.00255232261357836
"for them the",5,"for","them","the",0.0588235294117647
"for this challenge",5,"for","this","challenge",0.0268817204301075
"for this weekend",5,"for","this","weekend",0.0268817204301075
"for up to",5,"for","up","to",0.833333333333333
"for us and",5,"for","us","and",0.0602409638554217
"for what they",5,"for","what","they",0.142857142857143
"for whatever reason",5,"for","whatever","reason",0.625
"for yards and",5,"for","yards","and",0.833333333333333
"for years i",5,"for","years","i",0.0806451612903226
"for you i",5,"for","you","i",0.0185185185185185
"for you the",5,"for","you","the",0.0185185185185185
"for you too",5,"for","you","too",0.0185185185185185
"for your chance",5,"for","your","chance",0.0282485875706215
"force in the",5,"force","in","the",0.714285714285714
"forget to check",5,"forget","to","check",0.15625
"forward to our",5,"forward","to","our",0.0203252032520325
"forward to this",5,"forward","to","this",0.0203252032520325
"forward to working",5,"forward","to","working",0.0203252032520325
