"term","freq","s1","s2","s3","prob"
"to my knees",5,"to","my","knees",0.00371195248700817
"to my latest",5,"to","my","latest",0.00371195248700817
"to my left",5,"to","my","left",0.00371195248700817
"to my music",5,"to","my","music",0.00371195248700817
"to my normal",5,"to","my","normal",0.00371195248700817
"to my stomach",5,"to","my","stomach",0.00371195248700817
"to my tweet",5,"to","my","tweet",0.00371195248700817
"to my wife",5,"to","my","wife",0.00371195248700817
"to my world",5,"to","my","world",0.00371195248700817
"to my youtube",5,"to","my","youtube",0.00371195248700817
"to name but",5,"to","name","but",0.116279069767442
"to new jersey",5,"to","new","jersey",0.0471698113207547
"to no end",5,"to","no","end",0.111111111111111
"to not give",5,"to","not","give",0.0290697674418605
"to obey the",5,"to","obey","the",0.333333333333333
"to obtain the",5,"to","obtain","the",0.147058823529412
"to on a",5,"to","on","a",0.0833333333333333
"to one day",5,"to","one","day",0.0239234449760766
"to one lucky",5,"to","one","lucky",0.0239234449760766
"to open our",5,"to","open","our",0.0423728813559322
"to our followers",5,"to","our","followers",0.00959692898272553
"to our next",5,"to","our","next",0.00959692898272553
"to our wonderful",5,"to","our","wonderful",0.00959692898272553
"to own a",5,"to","own","a",0.185185185185185
"to part with",5,"to","part","with",0.555555555555556
"to participate and",5,"to","participate","and",0.0862068965517241
"to pass a",5,"to","pass","a",0.0476190476190476
"to pass through",5,"to","pass","through",0.0476190476190476
"to people and",5,"to","people","and",0.05
"to people i",5,"to","people","i",0.05
"to percent in",5,"to","percent","in",0.192307692307692
"to perform a",5,"to","perform","a",0.0847457627118644
"to pin down",5,"to","pin","down",0.416666666666667
"to place the",5,"to","place","the",0.116279069767442
"to place your",5,"to","place","your",0.116279069767442
"to play but",5,"to","play","but",0.0105708245243129
"to play on",5,"to","play","on",0.0105708245243129
"to play this",5,"to","play","this",0.0105708245243129
"to point b",5,"to","point","b",0.108695652173913
"to popular belief",5,"to","popular","belief",0.714285714285714
"to present a",5,"to","present","a",0.104166666666667
"to pretend to",5,"to","pretend","to",0.2
"to protect her",5,"to","protect","her",0.0543478260869565
"to protect their",5,"to","protect","their",0.0543478260869565
"to prove me",5,"to","prove","me",0.0531914893617021
"to prove to",5,"to","prove","to",0.0531914893617021
"to pull it",5,"to","pull","it",0.0632911392405063
"to pull off",5,"to","pull","off",0.0632911392405063
"to push my",5,"to","push","my",0.0806451612903226
"to push on",5,"to","push","on",0.0806451612903226
"to put an",5,"to","put","an",0.0110864745011086
"to put down",5,"to","put","down",0.0110864745011086
"to put her",5,"to","put","her",0.0110864745011086
"to put into",5,"to","put","into",0.0110864745011086
"to re open",5,"to","re","open",0.0769230769230769
"to reach their",5,"to","reach","their",0.0396825396825397
"to reach you",5,"to","reach","you",0.0396825396825397
"to read at",5,"to","read","at",0.0114942528735632
"to read i",5,"to","read","i",0.0114942528735632
"to read my",5,"to","read","my",0.0114942528735632
"to read some",5,"to","read","some",0.0114942528735632
"to realize this",5,"to","realize","this",0.0684931506849315
"to receive an",5,"to","receive","an",0.0561797752808989
"to receive off",5,"to","receive","off",0.0561797752808989
"to reconcile the",5,"to","reconcile","the",0.5
"to release it",5,"to","release","it",0.078125
"to remember and",5,"to","remember","and",0.0384615384615385
"to remember what",5,"to","remember","what",0.0384615384615385
"to remember when",5,"to","remember","when",0.0384615384615385
"to remind you",5,"to","remind","you",0.106382978723404
"to remove it",5,"to","remove","it",0.0793650793650794
"to repair the",5,"to","repair","the",0.3125
"to replace an",5,"to","replace","an",0.0735294117647059
"to replace them",5,"to","replace","them",0.0735294117647059
"to report on",5,"to","report","on",0.131578947368421
"to resist the",5,"to","resist","the",0.172413793103448
"to resolve the",5,"to","resolve","the",0.5
"to resort to",5,"to","resort","to",1
"to rest and",5,"to","rest","and",0.147058823529412
"to reveal the",5,"to","reveal","the",0.238095238095238
"to reverse the",5,"to","reverse","the",0.454545454545455
"to review the",5,"to","review","the",0.131578947368421
"to rid the",5,"to","rid","the",0.714285714285714
"to ride the",5,"to","ride","the",0.0847457627118644
"to rise up",5,"to","rise","up",0.135135135135135
"to run and",5,"to","run","and",0.0224215246636771
"to run around",5,"to","run","around",0.0224215246636771
"to run in",5,"to","run","in",0.0224215246636771
"to run into",5,"to","run","into",0.0224215246636771
"to run some",5,"to","run","some",0.0224215246636771
"to save them",5,"to","save","them",0.028735632183908
"to say how",5,"to","say","how",0.00458295142071494
"to say on",5,"to","say","on",0.00458295142071494
"to say right",5,"to","say","right",0.00458295142071494
"to say she",5,"to","say","she",0.00458295142071494
"to say there",5,"to","say","there",0.00458295142071494
"to say too",5,"to","say","too",0.00458295142071494
"to say when",5,"to","say","when",0.00458295142071494
"to school in",5,"to","school","in",0.021551724137931
"to second guess",5,"to","second","guess",0.357142857142857
"to see again",5,"to","see","again",0.00180505415162455
"to see each",5,"to","see","each",0.00180505415162455
"to see many",5,"to","see","many",0.00180505415162455
"to see pictures",5,"to","see","pictures",0.00180505415162455
"to see such",5,"to","see","such",0.00180505415162455
"to see with",5,"to","see","with",0.00180505415162455
"to sell out",5,"to","sell","out",0.037593984962406
"to sell you",5,"to","sell","you",0.037593984962406
"to send my",5,"to","send","my",0.0256410256410256
"to send us",5,"to","send","us",0.0256410256410256
"to send your",5,"to","send","your",0.0256410256410256
"to serve a",5,"to","serve","a",0.0657894736842105
"to serve in",5,"to","serve","in",0.0657894736842105
"to serve the",5,"to","serve","the",0.0657894736842105
"to set me",5,"to","set","me",0.04
"to shape the",5,"to","shape","the",0.5
"to share how",5,"to","share","how",0.0119904076738609
"to share that",5,"to","share","that",0.0119904076738609
"to share what",5,"to","share","what",0.0119904076738609
"to shoot them",5,"to","shoot","them",0.078125
"to shop for",5,"to","shop","for",0.147058823529412
"to show people",5,"to","show","people",0.0156739811912226
"to show this",5,"to","show","this",0.0156739811912226
"to sing it",5,"to","sing","it",0.078125
"to sing the",5,"to","sing","the",0.078125
"to skip the",5,"to","skip","the",0.227272727272727
"to sleep because",5,"to","sleep","because",0.0145348837209302
"to sleep lol",5,"to","sleep","lol",0.0145348837209302
"to soak up",5,"to","soak","up",0.357142857142857
"to some good",5,"to","some","good",0.0251256281407035
"to something that",5,"to","something","that",0.0943396226415094
"to sort through",5,"to","sort","through",0.166666666666667
"to south beach",5,"to","south","beach",0.263157894736842
"to speak at",5,"to","speak","at",0.0387596899224806
"to speed on",5,"to","speed","on",0.25
"to spend with",5,"to","spend","with",0.0227272727272727
"to start i",5,"to","start","i",0.00875656742556918
"to start planning",5,"to","start","planning",0.00875656742556918
"to stay out",5,"to","stay","out",0.0153374233128834
"to stay tuned",5,"to","stay","tuned",0.0153374233128834
"to step in",5,"to","step","in",0.0666666666666667
"to stock up",5,"to","stock","up",0.5
"to stop calling",5,"to","stop","calling",0.0138504155124654
"to stop i",5,"to","stop","i",0.0138504155124654
"to stop tweeting",5,"to","stop","tweeting",0.0138504155124654
"to strengthen the",5,"to","strengthen","the",0.3125
"to succeed in",5,"to","succeed","in",0.125
"to suck it",5,"to","suck","it",0.333333333333333
"to support my",5,"to","support","my",0.0344827586206897
"to survive and",5,"to","survive","and",0.102040816326531
"to switch off",5,"to","switch","off",0.15625
"to switch to",5,"to","switch","to",0.15625
"to tag this",5,"to","tag","this",0.384615384615385
"to take another",5,"to","take","another",0.00472143531633617
"to take any",5,"to","take","any",0.00472143531633617
"to take down",5,"to","take","down",0.00472143531633617
"to take for",5,"to","take","for",0.00472143531633617
"to take more",5,"to","take","more",0.00472143531633617
"to take photos",5,"to","take","photos",0.00472143531633617
"to take risks",5,"to","take","risks",0.00472143531633617
"to take something",5,"to","take","something",0.00472143531633617
"to talking about",5,"to","talking","about",0.454545454545455
"to teach you",5,"to","teach","you",0.0495049504950495
"to tell his",5,"to","tell","his",0.011441647597254
"to tell this",5,"to","tell","this",0.011441647597254
"to that effect",5,"to","that","effect",0.0154798761609907
"to that end",5,"to","that","end",0.0154798761609907
"to that in",5,"to","that","in",0.0154798761609907
"to the actual",5,"to","the","actual",0.000613798183157378
"to the album",5,"to","the","album",0.000613798183157378
"to the amount",5,"to","the","amount",0.000613798183157378
"to the ancient",5,"to","the","ancient",0.000613798183157378
"to the and",5,"to","the","and",0.000613798183157378
"to the apple",5,"to","the","apple",0.000613798183157378
"to the art",5,"to","the","art",0.000613798183157378
"to the bank",5,"to","the","bank",0.000613798183157378
"to the beautiful",5,"to","the","beautiful",0.000613798183157378
"to the beginning",5,"to","the","beginning",0.000613798183157378
"to the blue",5,"to","the","blue",0.000613798183157378
"to the character",5,"to","the","character",0.000613798183157378
"to the choir",5,"to","the","choir",0.000613798183157378
"to the cinema",5,"to","the","cinema",0.000613798183157378
"to the class",5,"to","the","class",0.000613798183157378
"to the cleveland",5,"to","the","cleveland",0.000613798183157378
"to the coffee",5,"to","the","coffee",0.000613798183157378
"to the concert",5,"to","the","concert",0.000613798183157378
"to the country",5,"to","the","country",0.000613798183157378
"to the court",5,"to","the","court",0.000613798183157378
"to the crib",5,"to","the","crib",0.000613798183157378
"to the cross",5,"to","the","cross",0.000613798183157378
"to the current",5,"to","the","current",0.000613798183157378
"to the dining",5,"to","the","dining",0.000613798183157378
"to the drawing",5,"to","the","drawing",0.000613798183157378
"to the dry",5,"to","the","dry",0.000613798183157378
"to the early",5,"to","the","early",0.000613798183157378
"to the economy",5,"to","the","economy",0.000613798183157378
"to the email",5,"to","the","email",0.000613798183157378
"to the extreme",5,"to","the","extreme",0.000613798183157378
"to the film",5,"to","the","film",0.000613798183157378
"to the for",5,"to","the","for",0.000613798183157378
"to the fore",5,"to","the","fore",0.000613798183157378
"to the free",5,"to","the","free",0.000613798183157378
"to the fun",5,"to","the","fun",0.000613798183157378
"to the green",5,"to","the","green",0.000613798183157378
"to the home",5,"to","the","home",0.000613798183157378
"to the ice",5,"to","the","ice",0.000613798183157378
"to the in",5,"to","the","in",0.000613798183157378
"to the international",5,"to","the","international",0.000613798183157378
"to the irish",5,"to","the","irish",0.000613798183157378
"to the island",5,"to","the","island",0.000613798183157378
"to the land",5,"to","the","land",0.000613798183157378
"to the law",5,"to","the","law",0.000613798183157378
"to the level",5,"to","the","level",0.000613798183157378
"to the line",5,"to","the","line",0.000613798183157378
"to the little",5,"to","the","little",0.000613798183157378
"to the lower",5,"to","the","lower",0.000613798183157378
"to the many",5,"to","the","many",0.000613798183157378
"to the milk",5,"to","the","milk",0.000613798183157378
"to the modern",5,"to","the","modern",0.000613798183157378
"to the movie",5,"to","the","movie",0.000613798183157378
"to the negative",5,"to","the","negative",0.000613798183157378
"to the pan",5,"to","the","pan",0.000613798183157378
"to the place",5,"to","the","place",0.000613798183157378
"to the present",5,"to","the","present",0.000613798183157378
"to the program",5,"to","the","program",0.000613798183157378
"to the red",5,"to","the","red",0.000613798183157378
"to the salon",5,"to","the","salon",0.000613798183157378
"to the screen",5,"to","the","screen",0.000613798183157378
"to the sea",5,"to","the","sea",0.000613798183157378
"to the sky",5,"to","the","sky",0.000613798183157378
"to the source",5,"to","the","source",0.000613798183157378
"to the street",5,"to","the","street",0.000613798183157378
"to the student",5,"to","the","student",0.000613798183157378
"to the sun",5,"to","the","sun",0.000613798183157378
"to the sunday",5,"to","the","sunday",0.000613798183157378
"to the truth",5,"to","the","truth",0.000613798183157378
"to the video",5,"to","the","video",0.000613798183157378
"to the wedding",5,"to","the","wedding",0.000613798183157378
"to the window",5,"to","the","window",0.000613798183157378
"to the work",5,"to","the","work",0.000613798183157378
"to the wrong",5,"to","the","wrong",0.000613798183157378
"to the year",5,"to","the","year",0.000613798183157378
"to the youth",5,"to","the","youth",0.000613798183157378
"to their children",5,"to","their","children",0.0161290322580645
"to their kids",5,"to","their","kids",0.0161290322580645
"to their new",5,"to","their","new",0.0161290322580645
"to them all",5,"to","them","all",0.0187265917602996
"to think and",5,"to","think","and",0.0125
"to think in",5,"to","think","in",0.0125
"to think we",5,"to","think","we",0.0125
"to this and",5,"to","this","and",0.0087719298245614
"to this book",5,"to","this","book",0.0087719298245614
"to this morning",5,"to","this","morning",0.0087719298245614
"to this story",5,"to","this","story",0.0087719298245614
"to this you",5,"to","this","you",0.0087719298245614
"to those around",5,"to","those","around",0.0276243093922652
"to those in",5,"to","those","in",0.0276243093922652
"to throw my",5,"to","throw","my",0.043859649122807
"to tie a",5,"to","tie","a",0.166666666666667
"to time to",5,"to","time","to",0.111111111111111
"to to the",5,"to","to","the",0.0675675675675676
"to try i",5,"to","try","i",0.0105708245243129
"to try some",5,"to","try","some",0.0105708245243129
"to turn in",5,"to","turn","in",0.0294117647058824
"to turn my",5,"to","turn","my",0.0294117647058824
"to turn over",5,"to","turn","over",0.0294117647058824
"to tweet me",5,"to","tweet","me",0.0485436893203883
"to tweet that",5,"to","tweet","that",0.0485436893203883
"to u in",5,"to","u","in",0.0746268656716418
"to uncover the",5,"to","uncover","the",0.5
"to understand how",5,"to","understand","how",0.029585798816568
"to understand is",5,"to","understand","is",0.029585798816568
"to unlock the",5,"to","unlock","the",0.5
"to use any",5,"to","use","any",0.00822368421052632
"to use google",5,"to","use","google",0.00822368421052632
"to use up",5,"to","use","up",0.00822368421052632
"to use when",5,"to","use","when",0.00822368421052632
"to vegas for",5,"to","vegas","for",0.161290322580645
"to visit a",5,"to","visit","a",0.0259067357512953
"to visit us",5,"to","visit","us",0.0259067357512953
"to visit you",5,"to","visit","you",0.0259067357512953
"to visit your",5,"to","visit","your",0.0259067357512953
"to wal mart",5,"to","wal","mart",1
"to walk into",5,"to","walk","into",0.0337837837837838
"to walk through",5,"to","walk","through",0.0337837837837838
"to walk up",5,"to","walk","up",0.0337837837837838
"to wall street",5,"to","wall","street",0.5
"to watch i",5,"to","watch","i",0.00967117988394584
"to wear and",5,"to","wear","and",0.0274725274725275
"to wear this",5,"to","wear","this",0.0274725274725275
"to where we",5,"to","where","we",0.0793650793650794
"to which the",5,"to","which","the",0.087719298245614
"to win in",5,"to","win","in",0.0128865979381443
"to win their",5,"to","win","their",0.0128865979381443
"to win tix",5,"to","win","tix",0.0128865979381443
"to wish you",5,"to","wish","you",0.166666666666667
"to wonder how",5,"to","wonder","how",0.166666666666667
"to wonder if",5,"to","wonder","if",0.166666666666667
"to work after",5,"to","work","after",0.0062266500622665
"to work all",5,"to","work","all",0.0062266500622665
"to work my",5,"to","work","my",0.0062266500622665
"to work so",5,"to","work","so",0.0062266500622665
"to work there",5,"to","work","there",0.0062266500622665
"to work through",5,"to","work","through",0.0062266500622665
"to wrap it",5,"to","wrap","it",0.166666666666667
"to write all",5,"to","write","all",0.0122249388753056
"to you from",5,"to","you","from",0.0050709939148073
"to you happy",5,"to","you","happy",0.0050709939148073
"to you how",5,"to","you","how",0.0050709939148073
"to you later",5,"to","you","later",0.0050709939148073
"to you my",5,"to","you","my",0.0050709939148073
"to you not",5,"to","you","not",0.0050709939148073
"to you right",5,"to","you","right",0.0050709939148073
"to you soon",5,"to","you","soon",0.0050709939148073
"to you today",5,"to","you","today",0.0050709939148073
"to your head",5,"to","your","head",0.00739644970414201
"to your kids",5,"to","your","kids",0.00739644970414201
"to your life",5,"to","your","life",0.00739644970414201
"to your list",5,"to","your","list",0.00739644970414201
"to your new",5,"to","your","new",0.00739644970414201
"to your next",5,"to","your","next",0.00739644970414201
"today's btu inspiration",5,"today's","btu","inspiration",1
"today and have",5,"today","and","have",0.0219298245614035
"today and she",5,"today","and","she",0.0219298245614035
"today as i",5,"today","as","i",0.128205128205128
"today because i",5,"today","because","i",0.172413793103448
"today but it",5,"today","but","it",0.0694444444444444
"today check it",5,"today","check","it",0.833333333333333
"today due to",5,"today","due","to",1
"today i could",5,"today","i","could",0.0131233595800525
"today i don't",5,"today","i","don't",0.0131233595800525
"today i hope",5,"today","i","hope",0.0131233595800525
"today i need",5,"today","i","need",0.0131233595800525
"today i thought",5,"today","i","thought",0.0131233595800525
"today is day",5,"today","is","day",0.0144927536231884
"today is one",5,"today","is","one",0.0144927536231884
"today looking forward",5,"today","looking","forward",0.625
"today lots of",5,"today","lots","of",1
"today on the",5,"today","on","the",0.125
"today should be",5,"today","should","be",0.714285714285714
"today thanks to",5,"today","thanks","to",0.208333333333333
"today to be",5,"today","to","be",0.0526315789473684
"toddlers and tiaras",5,"toddlers","and","tiaras",0.833333333333333
"together and the",5,"together","and","the",0.0416666666666667
"together as a",5,"together","as","a",0.217391304347826
"together at the",5,"together","at","the",0.357142857142857
"together the flour",5,"together","the","flour",0.111111111111111
"together with a",5,"together","with","a",0.0714285714285714
"together with my",5,"together","with","my",0.0714285714285714
"told her about",5,"told","her","about",0.045045045045045
"told him the",5,"told","him","the",0.0476190476190476
"told me how",5,"told","me","how",0.014367816091954
"told me you",5,"told","me","you",0.014367816091954
"told the story",5,"told","the","story",0.0485436893203883
"told them to",5,"told","them","to",0.135135135135135
"tomorrow for a",5,"tomorrow","for","a",0.0847457627118644
"tomorrow i'll be",5,"tomorrow","i'll","be",0.357142857142857
"tomorrow i think",5,"tomorrow","i","think",0.0806451612903226
"ton of work",5,"ton","of","work",0.0595238095238095
"tone of the",5,"tone","of","the",0.357142857142857
"tonight is a",5,"tonight","is","a",0.0909090909090909
"tonight to see",5,"tonight","to","see",0.161290322580645
"too bad for",5,"too","bad","for",0.04
"too bad it",5,"too","bad","it",0.04
"too but i'm",5,"too","but","i'm",0.0543478260869565
"too difficult to",5,"too","difficult","to",0.416666666666667
"too good for",5,"too","good","for",0.108695652173913
"too hard on",5,"too","hard","on",0.0925925925925926
"too high and",5,"too","high","and",0.2
"too i have",5,"too","i","have",0.0378787878787879
"too i hope",5,"too","i","hope",0.0378787878787879
"too late and",5,"too","late","and",0.0423728813559322
"too much at",5,"too","much","at",0.00894454382826476
"too much but",5,"too","much","but",0.00894454382826476
"too rt i",5,"too","rt","i",0.113636363636364
"too small to",5,"too","small","to",0.217391304347826
"too smart to",5,"too","smart","to",0.625
"took a while",5,"took","a","while",0.0222222222222222
"took all the",5,"took","all","the",0.454545454545455
"took her to",5,"took","her","to",0.185185185185185
"took me back",5,"took","me","back",0.0515463917525773
"took on a",5,"took","on","a",0.416666666666667
"took out a",5,"took","out","a",0.2
"took out my",5,"took","out","my",0.2
"top of all",5,"top","of","all",0.0127226463104326
"top of mind",5,"top","of","mind",0.0127226463104326
"top with a",5,"top","with","a",0.217391304347826
"touch with my",5,"touch","with","my",0.131578947368421
"town this weekend",5,"town","this","weekend",0.555555555555556
"toys in the",5,"toys","in","the",0.833333333333333
"traced back to",5,"traced","back","to",1
"traffic on the",5,"traffic","on","the",0.384615384615385
"traffic tweet brought",5,"traffic","tweet","brought",1
"trailer for the",5,"trailer","for","the",0.416666666666667
"transferred to the",5,"transferred","to","the",0.263157894736842
"transformed into a",5,"transformed","into","a",0.357142857142857
"translation of the",5,"translation","of","the",0.5
"trial and error",5,"trial","and","error",0.454545454545455
"tried not to",5,"tried","not","to",1
"tried to change",5,"tried","to","change",0.0148367952522255
"tried to do",5,"tried","to","do",0.0148367952522255
"tried to figure",5,"tried","to","figure",0.0148367952522255
"tried to run",5,"tried","to","run",0.0148367952522255
"tried to talk",5,"tried","to","talk",0.0148367952522255
"tried to write",5,"tried","to","write",0.0148367952522255
"trip back to",5,"trip","back","to",0.454545454545455
"trip in the",5,"trip","in","the",0.3125
"trip to florida",5,"trip","to","florida",0.0231481481481481
"trip to hawaii",5,"trip","to","hawaii",0.0231481481481481
"trip to new",5,"trip","to","new",0.0231481481481481
"trip to vegas",5,"trip","to","vegas",0.0231481481481481
"trip up to",5,"trip","up","to",0.833333333333333
"true meaning of",5,"true","meaning","of",0.714285714285714
"true or false",5,"true","or","false",0.5
"truth is that",5,"truth","is","that",0.0847457627118644
"truth of the",5,"truth","of","the",0.208333333333333
"try our new",5,"try","our","new",0.227272727272727
"try out for",5,"try","out","for",0.128205128205128
"try to give",5,"try","to","give",0.00763358778625954
"try to go",5,"try","to","go",0.00763358778625954
"try to move",5,"try","to","move",0.00763358778625954
"try to remember",5,"try","to","remember",0.00763358778625954
"try to save",5,"try","to","save",0.00763358778625954
"try to stop",5,"try","to","stop",0.00763358778625954
"try to take",5,"try","to","take",0.00763358778625954
"trying to avoid",5,"trying","to","avoid",0.00366032210834553
"trying to bring",5,"trying","to","bring",0.00366032210834553
"trying to impress",5,"trying","to","impress",0.00366032210834553
"trying to learn",5,"trying","to","learn",0.00366032210834553
"trying to organize",5,"trying","to","organize",0.00366032210834553
"trying to pick",5,"trying","to","pick",0.00366032210834553
"trying to please",5,"trying","to","please",0.00366032210834553
"trying to protect",5,"trying","to","protect",0.00366032210834553
"trying to prove",5,"trying","to","prove",0.00366032210834553
"trying to recall",5,"trying","to","recall",0.00366032210834553
"trying to turn",5,"trying","to","turn",0.00366032210834553
"trying to watch",5,"trying","to","watch",0.00366032210834553
"trying too hard",5,"trying","too","hard",0.625
"tune in and",5,"tune","in","and",0.0595238095238095
"tune in now",5,"tune","in","now",0.0595238095238095
"tune in on",5,"tune","in","on",0.0595238095238095
"tune in tonight",5,"tune","in","tonight",0.0595238095238095
"tuned for details",5,"tuned","for","details",0.0806451612903226
"tuned for our",5,"tuned","for","our",0.0806451612903226
"tuned in to",5,"tuned","in","to",0.416666666666667
"tuning in to",5,"tuning","in","to",0.357142857142857
"turn back the",5,"turn","back","the",0.333333333333333
"turn in the",5,"turn","in","the",0.263157894736842
"turn out as",5,"turn","out","as",0.0632911392405063
"turn out for",5,"turn","out","for",0.0632911392405063
"turn out the",5,"turn","out","the",0.0632911392405063
"turn up the",5,"turn","up","the",0.166666666666667
"turned around to",5,"turned","around","to",0.2
"turns out there",5,"turns","out","there",0.0357142857142857
"tutorial on how",5,"tutorial","on","how",0.555555555555556
"tweet brought to",5,"tweet","brought","to",1
"tweet but i",5,"tweet","but","i",0.263157894736842
"tweet for a",5,"tweet","for","a",0.294117647058824
"tweet goes to",5,"tweet","goes","to",0.625
"tweet tweet tweet",5,"tweet","tweet","tweet",0.555555555555556
"twice as long",5,"twice","as","long",0.208333333333333
"twitter for the",5,"twitter","for","the",0.131578947368421
"twitter i have",5,"twitter","i","have",0.0961538461538462
"twitter is my",5,"twitter","is","my",0.0531914893617021
"twitter is the",5,"twitter","is","the",0.0531914893617021
"twitter profile pic",5,"twitter","profile","pic",0.555555555555556
"two are the",5,"two","are","the",0.192307692307692
"two for the",5,"two","for","the",0.192307692307692
"two hundred years",5,"two","hundred","years",0.384615384615385
"two kinds of",5,"two","kinds","of",0.833333333333333
"two months i",5,"two","months","i",0.108695652173913
"two things that",5,"two","things","that",0.111111111111111
"two things you",5,"two","things","you",0.111111111111111
"two very different",5,"two","very","different",0.3125
"two weeks before",5,"two","weeks","before",0.0344827586206897
"two year olds",5,"two","year","olds",0.227272727272727
"typical of the",5,"typical","of","the",0.384615384615385
"u are so",5,"u","are","so",0.0847457627118644
"u don't have",5,"u","don't","have",0.128205128205128
"u don't know",5,"u","don't","know",0.128205128205128
"u for the",5,"u","for","the",0.142857142857143
"u get my",5,"u","get","my",0.0657894736842105
"u guys are",5,"u","guys","are",0.078125
"u guys r",5,"u","guys","r",0.078125
"u in a",5,"u","in","a",0.106382978723404
"u know i",5,"u","know","i",0.0427350427350427
"u know that",5,"u","know","that",0.0427350427350427
"u liked it",5,"u","liked","it",0.714285714285714
"u look like",5,"u","look","like",0.178571428571429
"u love me",5,"u","love","me",0.217391304347826
"u r a",5,"u","r","a",0.0561797752808989
"u should come",5,"u","should","come",0.119047619047619
"u talking about",5,"u","talking","about",0.833333333333333
"u think i",5,"u","think","i",0.0847457627118644
"u think u",5,"u","think","u",0.0847457627118644
"ugh i feel",5,"ugh","i","feel",0.102040816326531
"under the bus",5,"under","the","bus",0.0134048257372654
"under the guise",5,"under","the","guise",0.0134048257372654
"under the name",5,"under","the","name",0.0134048257372654
"under the same",5,"under","the","same",0.0134048257372654
"under the table",5,"under","the","table",0.0134048257372654
"under the weather",5,"under","the","weather",0.0134048257372654
"understand how much",5,"understand","how","much",0.108695652173913
"understand that the",5,"understand","that","the",0.0632911392405063
"understanding of what",5,"understanding","of","what",0.0769230769230769
"united states to",5,"united","states","to",0.0224215246636771
"university of florida",5,"university","of","florida",0.0384615384615385
"university of houston",5,"university","of","houston",0.0384615384615385
"university of maryland",5,"university","of","maryland",0.0384615384615385
"university of pennsylvania",5,"university","of","pennsylvania",0.0384615384615385
"unless you have",5,"unless","you","have",0.0561797752808989
"unlike any other",5,"unlike","any","other",0.625
"until after i",5,"until","after","i",0.128205128205128
"until all the",5,"until","all","the",0.3125
"until i had",5,"until","i","had",0.0257731958762887
"until it becomes",5,"until","it","becomes",0.0666666666666667
"until light and",5,"until","light","and",0.5
"until next week",5,"until","next","week",0.208333333333333
"until ready to",5,"until","ready","to",1
"until the new",5,"until","the","new",0.0171232876712329
"until the weekend",5,"until","the","weekend",0.0171232876712329
"until tomorrow to",5,"until","tomorrow","to",0.263157894736842
"until you find",5,"until","you","find",0.0510204081632653
"up a big",5,"up","a","big",0.0115207373271889
"up again and",5,"up","again","and",0.104166666666667
"up and eat",5,"up","and","eat",0.00618811881188119
"up and he",5,"up","and","he",0.00618811881188119
"up and move",5,"up","and","move",0.00618811881188119
"up and try",5,"up","and","try",0.00618811881188119
"up and went",5,"up","and","went",0.00618811881188119
"up and you",5,"up","and","you",0.00618811881188119
"up around the",5,"up","around","the",0.333333333333333
"up as i",5,"up","as","i",0.0595238095238095
"up as we",5,"up","as","we",0.0595238095238095
"up at a",5,"up","at","a",0.0193050193050193
"up at all",5,"up","at","all",0.0193050193050193
"up at least",5,"up","at","least",0.0193050193050193
"up at my",5,"up","at","my",0.0193050193050193
"up at night",5,"up","at","night",0.0193050193050193
"up at to",5,"up","at","to",0.0193050193050193
"up big time",5,"up","big","time",0.5
"up during the",5,"up","during","the",0.416666666666667
"up for sale",5,"up","for","sale",0.00950570342205323
"up for us",5,"up","for","us",0.00950570342205323
"up for what",5,"up","for","what",0.00950570342205323
"up from my",5,"up","from","my",0.0471698113207547
"up from school",5,"up","from","school",0.0471698113207547
"up his own",5,"up","his","own",0.0806451612903226
"up i want",5,"up","i","want",0.032258064516129
"up in fact",5,"up","in","fact",0.00783699059561128
"up in other",5,"up","in","other",0.00783699059561128
"up in their",5,"up","in","their",0.00783699059561128
"up is the",5,"up","is","the",0.113636363636364
"up it was",5,"up","it","was",0.131578947368421
"up let me",5,"up","let","me",0.555555555555556
"up like this",5,"up","like","this",0.121951219512195
"up off the",5,"up","off","the",0.714285714285714
"up on her",5,"up","on","her",0.00868055555555556
"up on what",5,"up","on","what",0.00868055555555556
"up since am",5,"up","since","am",0.357142857142857
"up thank you",5,"up","thank","you",0.833333333333333
"up the middle",5,"up","the","middle",0.00679347826086957
"up the rest",5,"up","the","rest",0.00679347826086957
"up the sun",5,"up","the","sun",0.00679347826086957
"up to all",5,"up","to","all",0.00462534690101758
"up to any",5,"up","to","any",0.00462534690101758
"up to go",5,"up","to","go",0.00462534690101758
"up to now",5,"up","to","now",0.00462534690101758
"up to off",5,"up","to","off",0.00462534690101758
"up until now",5,"up","until","now",0.111111111111111
"up until this",5,"up","until","this",0.111111111111111
"up w the",5,"up","w","the",0.208333333333333
"up way too",5,"up","way","too",0.555555555555556
"up when im",5,"up","when","im",0.0793650793650794
"up when they",5,"up","when","they",0.0793650793650794
"up will be",5,"up","will","be",0.625
"up with and",5,"up","with","and",0.0060313630880579
"up with is",5,"up","with","is",0.0060313630880579
"up with one",5,"up","with","one",0.0060313630880579
"up with our",5,"up","with","our",0.0060313630880579
"up with people",5,"up","with","people",0.0060313630880579
"up with u",5,"up","with","u",0.0060313630880579
"up your mind",5,"up","your","mind",0.0427350427350427
"up your own",5,"up","your","own",0.0427350427350427
"upon us and",5,"upon","us","and",0.166666666666667
"upper west side",5,"upper","west","side",1
"ur the only",5,"ur","the","only",0.277777777777778
